Recipient BUSINESS NAME,"Recipient PREFIX (Mr., Mrs., Ms., Dr., etc.)",Recipient FIRST  NAME,Recipient LAST NAME,Recipient ADDRESS 1,Recipient ADDRESS 2,Recipient CITY ,Recipient STATE,Recipient  ZIP,Recipient BIRTH DATE,Recipient EMAIL ADDRESS,Recipient MESSAGE
A1Business Name,A1Prefix,A1First,A1Last,A1Address1,A1Address2,A1City,AB,1010,36892,A1@leveragedmedia.com,A1message
A2Business Name,A2Prefix,A2First,A2Last,A2Address1,A2Address2,A2City,AB,2020,36893,A2@leveragedmedia.com,A2message
A3Business Name,A3Prefix,A3First,A3Last,A3Address1,A3Address2,A3City,AB,3030,36894,A3@leveragedmedia.com,A3message
A4Business Name,A4Prefix,A4First,A4Last,A4Address1,A4Address2,A4City,AB,4040,36895,A4@leveragedmedia.com,A4message
A5Business Name,A5Prefix,A5First,A5Last,A5Address1,A5Address2,A5City,AB,5050,36896,A5@leveragedmedia.com,A5message
A6Business Name,A6Prefix,A6First,A6Last,A6Address1,A6Address2,A6City,AB,6060,36897,A6@leveragedmedia.com,A6message
A7Business Name,A7Prefix,A7First,A7Last,A7Address1,A7Address2,A7City,AB,7070,36898,A7@leveragedmedia.com,A7message
A8Business Name,A8Prefix,A8First,A8Last,A8Address1,A8Address2,A8City,AB,8080,36899,A8@leveragedmedia.com,A8message
A9Business Name,A9Prefix,A9First,A9Last,A9Address1,A9Address2,A9City,AB,9090,36900,A9@leveragedmedia.com,A9message
A10Business Name,A10Prefix,A10First,A10Last,A10Address1,A10Address2,A10City,AB,10100,36901,A10@leveragedmedia.com,A10message
A11Business Name,A11Prefix,A11First,A11Last,A11Address1,A11Address2,A11City,AB,11110,36902,A11@leveragedmedia.com,A11message
A12Business Name,A12Prefix,A12First,A12Last,A12Address1,A12Address2,A12City,AB,12120,36903,A12@leveragedmedia.com,A12message
A13Business Name,A13Prefix,A13First,A13Last,A13Address1,A13Address2,A13City,AB,13130,36904,A13@leveragedmedia.com,A13message
A14Business Name,A14Prefix,A14First,A14Last,A14Address1,A14Address2,A14City,AB,14140,36905,A14@leveragedmedia.com,A14message
A15Business Name,A15Prefix,A15First,A15Last,A15Address1,A15Address2,A15City,AB,15150,36906,A15@leveragedmedia.com,A15message
A16Business Name,A16Prefix,A16First,A16Last,A16Address1,A16Address2,A16City,AB,16160,36907,A16@leveragedmedia.com,A16message
A17Business Name,A17Prefix,A17First,A17Last,A17Address1,A17Address2,A17City,AB,17170,36908,A17@leveragedmedia.com,A17message
A18Business Name,A18Prefix,A18First,A18Last,A18Address1,A18Address2,A18City,AB,18180,36909,A18@leveragedmedia.com,A18message
A19Business Name,A19Prefix,A19First,A19Last,A19Address1,A19Address2,A19City,AB,19190,36910,A19@leveragedmedia.com,A19message
A20Business Name,A20Prefix,A20First,A20Last,A20Address1,A20Address2,A20City,AB,20200,36911,A20@leveragedmedia.com,A20message
A21Business Name,A21Prefix,A21First,A21Last,A21Address1,A21Address2,A21City,AB,21210,36912,A21@leveragedmedia.com,A21message
A22Business Name,A22Prefix,A22First,A22Last,A22Address1,A22Address2,A22City,AB,22220,36913,A22@leveragedmedia.com,A22message
A23Business Name,A23Prefix,A23First,A23Last,A23Address1,A23Address2,A23City,AB,23230,36914,A23@leveragedmedia.com,A23message
A24Business Name,A24Prefix,A24First,A24Last,A24Address1,A24Address2,A24City,AB,24240,36915,A24@leveragedmedia.com,A24message
A25Business Name,A25Prefix,A25First,A25Last,A25Address1,A25Address2,A25City,AB,25250,36916,A25@leveragedmedia.com,A25message
A26Business Name,A26Prefix,A26First,A26Last,A26Address1,A26Address2,A26City,AB,26260,36917,A26@leveragedmedia.com,A26message
A27Business Name,A27Prefix,A27First,A27Last,A27Address1,A27Address2,A27City,AB,27270,36918,A27@leveragedmedia.com,A27message
A28Business Name,A28Prefix,A28First,A28Last,A28Address1,A28Address2,A28City,AB,28280,36919,A28@leveragedmedia.com,A28message
A29Business Name,A29Prefix,A29First,A29Last,A29Address1,A29Address2,A29City,AB,29290,36920,A29@leveragedmedia.com,A29message
A30Business Name,A30Prefix,A30First,A30Last,A30Address1,A30Address2,A30City,AB,30300,36921,A30@leveragedmedia.com,A30message
A31Business Name,A31Prefix,A31First,A31Last,A31Address1,A31Address2,A31City,AB,31310,36922,A31@leveragedmedia.com,A31message
A32Business Name,A32Prefix,A32First,A32Last,A32Address1,A32Address2,A32City,AB,32320,36923,A32@leveragedmedia.com,A32message
A33Business Name,A33Prefix,A33First,A33Last,A33Address1,A33Address2,A33City,AB,33330,36924,A33@leveragedmedia.com,A33message
