Recipient BUSINESS NAME,"Recipient PREFIX (Mr., Mrs., Ms., Dr., etc.)",Recipient FIRST  NAME,Recipient LAST NAME,Recipient ADDRESS 1,Recipient ADDRESS 2,Recipient CITY ,Recipient STATE,Recipient  ZIP,Recipient BIRTH DATE,Recipient EMAIL ADDRESS,Recipient MESSAGE
D1Business Name,D1Prefix,D1First,D1Last,D1Address1,D1Address2,D1City,DB,1010,36892,D1@leveragedmedia.com,D1message
D2Business Name,D2Prefix,D2First,D2Last,D2Address1,D2Address2,D2City,DB,2020,36893,D2@leveragedmedia.com,D2message
D3Business Name,D3Prefix,D3First,D3Last,D3Address1,D3Address2,D3City,DB,3030,36894,D3@leveragedmedia.com,D3message
D4Business Name,D4Prefix,D4First,D4Last,D4Address1,D4Address2,D4City,DB,4040,36895,D4@leveragedmedia.com,D4message
D5Business Name,D5Prefix,D5First,D5Last,D5Address1,D5Address2,D5City,DB,5050,36896,D5@leveragedmedia.com,D5message
D6Business Name,D6Prefix,D6First,D6Last,D6Address1,D6Address2,D6City,DB,6060,36897,D6@leveragedmedia.com,D6message
D7Business Name,D7Prefix,D7First,D7Last,D7Address1,D7Address2,D7City,DB,7070,36898,D7@leveragedmedia.com,D7message
D8Business Name,D8Prefix,D8First,D8Last,D8Address1,D8Address2,D8City,DB,8080,36899,D8@leveragedmedia.com,D8message
D9Business Name,D9Prefix,D9First,D9Last,D9Address1,D9Address2,D9City,DB,9090,36900,D9@leveragedmedia.com,D9message
D10Business Name,D10Prefix,D10First,D10Last,D10Address1,D10Address2,D10City,DB,10100,36901,,D10message
D11Business Name,D11Prefix,D11First,D11Last,D11Address1,D11Address2,D11City,DB,11110,36902,,D11message
D12Business Name,D12Prefix,D12First,D12Last,D12Address1,D12Address2,D12City,DB,12120,36903,,D12message
D13Business Name,D13Prefix,D13First,D13Last,D13Address1,D13Address2,D13City,DB,13130,36904,D13@leveragedmedia.com,D13message
D14Business Name,D14Prefix,D14First,D14Last,D14Address1,D14Address2,D14City,DB,14140,36905,D14@leveragedmedia.com,D14message
D15Business Name,D15Prefix,D15First,D15Last,D15Address1,D15Address2,D15City,DB,15150,36906,D15@leveragedmedia.com,D15message
D16Business Name,D16Prefix,D16First,D16Last,D16Address1,D16Address2,D16City,DB,16160,36907,D16@leveragedmedia.com,D16message
D17Business Name,D17Prefix,D17First,D17Last,D17Address1,D17Address2,D17City,DB,17170,36908,D17@leveragedmedia.com,D17message
D18Business Name,D18Prefix,D18First,D18Last,D18Address1,D18Address2,D18City,DB,18180,36909,D18@leveragedmedia.com,D18message
D19Business Name,D19Prefix,D19First,D19Last,D19Address1,D19Address2,D19City,DB,19190,36910,D19@leveragedmedia.com,D19message
D20Business Name,D20Prefix,D20First,D20Last,D20Address1,D20Address2,D20City,DB,20200,36911,D20@leveragedmedia.com,D20message
D21Business Name,D21Prefix,D21First,D21Last,D21Address1,D21Address2,D21City,DB,21210,36912,D21@leveragedmedia.com,D21message
D22Business Name,D22Prefix,D22First,D22Last,D22Address1,D22Address2,D22City,DB,22220,36913,D22@leveragedmedia.com,D22message
D23Business Name,D23Prefix,D23First,D23Last,D23Address1,D23Address2,D23City,DB,23230,36914,D23@leveragedmedia.com,D23message
D24Business Name,D24Prefix,D24First,D24Last,D24Address1,D24Address2,D24City,DB,24240,36915,D24@leveragedmedia.com,D24message
