Recipient BUSINESS NAME,"Recipient PREFIX (Mr., Mrs., Ms., Dr., etc.)",Recipient FIRST  NAME,Recipient LAST NAME,Recipient ADDRESS 1,Recipient ADDRESS 2,Recipient CITY ,Recipient STATE,Recipient  ZIP,Recipient BIRTH DATE,Recipient EMAIL ADDRESS,Recipient MESSAGE
E1Business Name,E1Prefix,E1First,E1Last,E1Address1,E1Address2,E1City,EB,1010,36892,E1@leveragedmedia.com,E1message
E2Business Name,E2Prefix,E2First,E2Last,E2Address1,E2Address2,E2City,EB,2020,36893,E2@leveragedmedia.com,E2message
E3Business Name,E3Prefix,E3First,E3Last,E3Address1,E3Address2,E3City,EB,3030,36894,E3@leveragedmedia.com,E3message
E4Business Name,E4Prefix,E4First,E4Last,E4Address1,E4Address2,E4City,EB,4040,36895,E4@leveragedmedia.com,E4message
E5Business Name,E5Prefix,E5First,E5Last,E5Address1,E5Address2,E5City,EB,5050,36896,E5@leveragedmedia.com,E5message
E6Business Name,E6Prefix,E6First,E6Last,E6Address1,E6Address2,E6City,EB,6060,36897,E6@leveragedmedia.com,E6message
E7Business Name,E7Prefix,E7First,E7Last,E7Address1,E7Address2,E7City,EB,7070,36898,E7@leveragedmedia.com,E7message
E8Business Name,E8Prefix,E8First,E8Last,E8Address1,E8Address2,E8City,EB,8080,36899,E8@leveragedmedia.com,E8message
E9Business Name,E9Prefix,E9First,E9Last,E9Address1,E9Address2,E9City,EB,9090,36900,E9@leveragedmedia.com,E9message
E10Business Name,E10Prefix,E10First,E10Last,E10Address1,E10Address2,E10City,EB,10100,36901,E10@leveragedmedia.com,E10message
E11Business Name,E11Prefix,E11First,E11Last,E11Address1,E11Address2,E11City,EB,11110,36902,E11@leveragedmedia.com,E11message
E12Business Name,E12Prefix,E12First,E12Last,E12Address1,E12Address2,E12City,EB,12120,36903,E12@leveragedmedia.com,E12message
E13Business Name,E13Prefix,E13First,E13Last,E13Address1,E13Address2,E13City,EB,13130,36904,E13@leveragedmedia.com,E13message
E14Business Name,E14Prefix,E14First,E14Last,E14Address1,E14Address2,E14City,EB,14140,36905,E14@leveragedmedia.com,E14message
E15Business Name,E15Prefix,E15First,E15Last,E15Address1,E15Address2,E15City,EB,15150,36906,E15@leveragedmedia.com,E15message
E16Business Name,E16Prefix,E16First,E16Last,E16Address1,E16Address2,E16City,EB,16160,36907,E16@leveragedmedia.com,E16message
