Recipient BUSINESS NAME,"Recipient PREFIX (Mr., Mrs., Ms., Dr., etc.)",Recipient FIRST  NAME,Recipient LAST NAME,Recipient ADDRESS 1,Recipient ADDRESS 2,Recipient CITY ,Recipient STATE,Recipient  ZIP,Recipient BIRTH DATE,Recipient EMAIL ADDRESS,Recipient MESSAGE
F1Business Name,F1Prefix,F1First,F1Last,F1Address1,F1Address2,F1City,FB,1010,36892,F1@leveragedmedia.com,F1message
F2Business Name,F2Prefix,F2First,F2Last,F2Address1,F2Address2,F2City,FB,2020,36893,F2@leveragedmedia.com,F2message
F3Business Name,F3Prefix,F3First,F3Last,F3Address1,F3Address2,F3City,FB,3030,36894,F3@leveragedmedia.com,F3message
F4Business Name,F4Prefix,F4First,F4Last,F4Address1,F4Address2,F4City,FB,4040,36895,F4@leveragedmedia.com,F4message
F5Business Name,F5Prefix,F5First,F5Last,F5Address1,F5Address2,F5City,FB,5050,36896,F5@leveragedmedia.com,F5message
F6Business Name,F6Prefix,F6First,F6Last,F6Address1,F6Address2,F6City,FB,6060,36897,F6@leveragedmedia.com,F6message
F7Business Name,F7Prefix,F7First,F7Last,F7Address1,F7Address2,F7City,FB,7070,36898,F7@leveragedmedia.com,F7message
F8Business Name,F8Prefix,F8First,F8Last,F8Address1,F8Address2,F8City,FB,8080,36899,F8@leveragedmedia.com,F8message
F9Business Name,F9Prefix,F9First,F9Last,,,F9City,FB,9090,36900,,F9message
F10Business Name,F10Prefix,F10First,F10Last,F10Address1,F10Address2,F10City,FB,10100,36901,F10@leveragedmedia.com,F10message
F11Business Name,F11Prefix,F11First,F11Last,F11Address1,F11Address2,F11City,FB,11110,36902,F11@leveragedmedia.com,F11message
F12Business Name,F12Prefix,F12First,F12Last,F12Address1,F12Address2,F12City,FB,12120,36903,F12@leveragedmedia.com,F12message
F13Business Name,F13Prefix,F13First,F13Last,F13Address1,F13Address2,F13City,FB,13130,36904,F13@leveragedmedia.com,F13message
F14Business Name,F14Prefix,F14First,F14Last,,,F14City,FB,14140,36905,,F14message
F15Business Name,F15Prefix,F15First,F15Last,F15Address1,F15Address2,F15City,FB,15150,36906,F15@leveragedmedia.com,F15message
F16Business Name,F16Prefix,F16First,F16Last,F16Address1,F16Address2,F16City,FB,16160,36907,F16@leveragedmedia.com,F16message
F17Business Name,F17Prefix,F17First,F17Last,F17Address1,F17Address2,F17City,FB,17170,36908,F17@leveragedmedia.com,F17message
F18Business Name,F18Prefix,F18First,F18Last,F18Address1,F18Address2,F18City,FB,18180,36909,F18@leveragedmedia.com,F18message
F19Business Name,F19Prefix,F19First,F19Last,F19Address1,F19Address2,F19City,FB,19190,36910,F19@leveragedmedia.com,F19message
F20Business Name,F20Prefix,F20First,F20Last,,,F20City,FB,20200,36911,F20@leveragedmedia.com,F20message
F21Business Name,F21Prefix,F21First,F21Last,F21Address1,F21Address2,F21City,FB,21210,36912,,F21message
F22Business Name,F22Prefix,F22First,F22Last,F22Address1,F22Address2,F22City,FB,22220,36913,F22@leveragedmedia.com,F22message
F23Business Name,F23Prefix,F23First,F23Last,F23Address1,F23Address2,F23City,FB,23230,36914,F23@leveragedmedia.com,F23message
F24Business Name,F24Prefix,F24First,F24Last,F24Address1,F24Address2,F24City,FB,24240,36915,F24@leveragedmedia.com,F24message
F25Business Name,F25Prefix,F25First,F25Last,F25Address1,F25Address2,F25City,FB,25250,36916,F25@leveragedmedia.com,F25message
F26Business Name,F26Prefix,F26First,F26Last,,,F26City,FB,26260,36917,F26@leveragedmedia.com,F26message
F27Business Name,F27Prefix,F27First,F27Last,F27Address1,F27Address2,F27City,FB,27270,36918,,F27message
F28Business Name,F28Prefix,F28First,F28Last,F28Address1,F28Address2,F28City,FB,28280,36919,F28@leveragedmedia.com,F28message
F29Business Name,F29Prefix,F29First,F29Last,F29Address1,F29Address2,F29City,FB,29290,36920,,F29message
F30Business Name,F30Prefix,F30First,F30Last,F30Address1,F30Address2,F30City,FB,30300,36921,F30@leveragedmedia.com,F30message
F31Business Name,F31Prefix,F31First,F31Last,F31Address1,F31Address2,F31City,FB,31310,36922,F31@leveragedmedia.com,F31message
F32Business Name,F32Prefix,F32First,F32Last,F32Address1,F32Address2,F32City,FB,32320,36923,F32@leveragedmedia.com,F32message
F33Business Name,F33Prefix,F33First,F33Last,,,F33City,FB,33330,36924,F33@leveragedmedia.com,F33message
F34Business Name,F34Prefix,F34First,F34Last,F34Address1,F34Address2,F34City,FB,34340,36925,F34@leveragedmedia.com,F34message
F35Business Name,F35Prefix,F35First,F35Last,F35Address1,F35Address2,F35City,FB,35350,36926,F35@leveragedmedia.com,F35message
F36Business Name,F36Prefix,F36First,F36Last,F36Address1,F36Address2,F36City,FB,36360,36927,F36@leveragedmedia.com,F36message
F37Business Name,F37Prefix,F37First,F37Last,F37Address1,F37Address2,F37City,FB,37370,36928,F37@leveragedmedia.com,F37message
F38Business Name,F38Prefix,F38First,F38Last,F38Address1,F38Address2,F38City,FB,38380,36929,F38@leveragedmedia.com,F38message
F39Business Name,F39Prefix,F39First,F39Last,F39Address1,F39Address2,F39City,FB,39390,36930,F39@leveragedmedia.com,F39message
F40Business Name,F40Prefix,F40First,F40Last,F40Address1,F40Address2,F40City,FB,40400,36931,F40@leveragedmedia.com,F40message
F41Business Name,F41Prefix,F41First,F41Last,F41Address1,F41Address2,F41City,FB,41410,36932,F41@leveragedmedia.com,F41message
F42Business Name,F42Prefix,F42First,F42Last,F42Address1,F42Address2,F42City,FB,42420,36933,F42@leveragedmedia.com,F42message
F43Business Name,F43Prefix,F43First,F43Last,F43Address1,F43Address2,F43City,FB,43430,36934,F43@leveragedmedia.com,F43message
F44Business Name,F44Prefix,F44First,F44Last,F44Address1,F44Address2,F44City,FB,44440,36935,F44@leveragedmedia.com,F44message
F45Business Name,F45Prefix,F45First,F45Last,F45Address1,F45Address2,F45City,FB,45450,36936,F45@leveragedmedia.com,F45message
F46Business Name,F46Prefix,F46First,F46Last,F46Address1,F46Address2,F46City,FB,46460,36937,F46@leveragedmedia.com,F46message
F47Business Name,F47Prefix,F47First,F47Last,F47Address1,F47Address2,F47City,FB,47470,36938,F47@leveragedmedia.com,F47message
F48Business Name,F48Prefix,F48First,F48Last,F48Address1,F48Address2,F48City,FB,48480,36939,F48@leveragedmedia.com,F48message
