Recipient BUSINESS NAME,"Recipient PREFIX (Mr., Mrs., Ms., Dr., etc.)",Recipient FIRST  NAME,Recipient LAST NAME,Recipient ADDRESS 1,Recipient ADDRESS 2,Recipient CITY ,Recipient STATE,Recipient  ZIP,Recipient BIRTH DATE,Recipient EMAIL ADDRESS,Recipient MESSAGE
G1GGG Plumber ,G1Prefix,G1First,G1Last,G1Address1,G1Address2,G1City,GB,1010,36892,G1@leveragedmedia.com,G1message
G1GGG Plumber ,G2Prefix,G2First,G2Last,G2Address1,G2Address2,G2City,GB,2020,36893,G2@leveragedmedia.com,G2message
G1GGG Plumber ,G3Prefix,G3First,G3Last,G3Address1,G3Address2,G3City,GB,3030,36894,G3@leveragedmedia.com,G3message
G1GGG Plumber ,G4Prefix,G4First,G4Last,G4Address1,G4Address2,G4City,GB,4040,36895,G4@leveragedmedia.com,G4message
G1GGG Plumber ,G5Prefix,G5First,G5Last,G5Address1,G5Address2,G5City,GB,5050,36896,G5@leveragedmedia.com,G5message
G1GGG Plumber ,G6Prefix,G6First,G6Last,G6Address1,G6Address2,G6City,GB,6060,36897,G6@leveragedmedia.com,G6message
G1GGG Plumber ,G7Prefix,G7First,G7Last,G7Address1,G7Address2,G7City,GB,7070,36898,G7@leveragedmedia.com,G7message
G1GGG Plumber ,G8Prefix,G8First,G8Last,G8Address1,G8Address2,G8City,GB,8080,36899,G8@leveragedmedia.com,G8message
G1GGG Plumber ,G9Prefix,G9First,G9Last,G9Address1,G9Address2,G9City,GB,9090,36900,G9@leveragedmedia.com,G9message
G1GGG Plumber ,G10Prefix,G10First,G10Last,G10Address1,G10Address2,G10City,GB,10100,36901,G10@leveragedmedia.com,G10message
G1GGG Plumber ,G11Prefix,G11First,G11Last,G11Address1,G11Address2,G11City,GB,11110,36902,G11@leveragedmedia.com,G11message
G1GGG Plumber ,G12Prefix,G12First,G12Last,G12Address1,G12Address2,G12City,GB,12120,36903,G12@leveragedmedia.com,G12message
G1GGG Plumber ,G13Prefix,G13First,G13Last,G13Address1,G13Address2,G13City,GB,13130,36904,G13@leveragedmedia.com,G13message
G1GGG Plumber ,G14Prefix,G14First,G14Last,G14Address1,G14Address2,G14City,GB,14140,36905,G14@leveragedmedia.com,G14message
G1GGG Plumber ,G15Prefix,G15First,G15Last,G15Address1,G15Address2,G15City,GB,15150,36906,G15@leveragedmedia.com,G15message
G1GGG Plumber ,G16Prefix,G16First,G16Last,G16Address1,G16Address2,G16City,GB,16160,36907,G16@leveragedmedia.com,G16message
G1GGG Plumber ,G17Prefix,G17First,G17Last,G17Address1,G17Address2,G17City,GB,17170,36908,G17@leveragedmedia.com,G17message
G1GGG Plumber ,G18Prefix,G18First,G18Last,G18Address1,G18Address2,G18City,GB,18180,36909,G18@leveragedmedia.com,G18message
G1GGG Plumber ,G19Prefix,G19First,G19Last,G19Address1,G19Address2,G19City,GB,19190,36910,G19@leveragedmedia.com,G19message
G1GGG Plumber ,G20Prefix,G20First,G20Last,G20Address1,G20Address2,G20City,GB,20200,36911,G20@leveragedmedia.com,G20message
G1GGG Plumber ,G21Prefix,G21First,G21Last,G21Address1,G21Address2,G21City,GB,21210,36912,G21@leveragedmedia.com,G21message
G1GGG Plumber ,G22Prefix,G22First,G22Last,G22Address1,G22Address2,G22City,GB,22220,36913,G22@leveragedmedia.com,G22message
G1GGG Plumber ,G23Prefix,G23First,G23Last,G23Address1,G23Address2,G23City,GB,23230,36914,G23@leveragedmedia.com,G23message
G1GGG Plumber ,G24Prefix,G24First,G24Last,G24Address1,G24Address2,G24City,GB,24240,36915,G24@leveragedmedia.com,G24message
G1GGG Plumber ,G25Prefix,G25First,G25Last,G25Address1,G25Address2,G25City,GB,25250,36916,,G25message
G1GGG Plumber ,G26Prefix,G26First,G26Last,G26Address1,G26Address2,G26City,GB,26260,36917,,G26message
G1GGG Plumber ,G27Prefix,G27First,G27Last,G27Address1,G27Address2,G27City,GB,27270,36918,,G27message
G1GGG Plumber ,G28Prefix,G28First,G28Last,G28Address1,G28Address2,G28City,GB,28280,36919,,G28message
G1GGG Plumber ,G29Prefix,G29First,G29Last,G29Address1,G29Address2,G29City,GB,29290,36920,,G29message
G1GGG Plumber ,G30Prefix,G30First,G30Last,G30Address1,G30Address2,G30City,GB,30300,36921,,G30message
G1GGG Plumber ,G31Prefix,G31First,G31Last,,,G31City,GB,31310,36922,G31@leveragedmedia.com,G31message
