Recipient BUSINESS NAME,"Recipient PREFIX (Mr., Mrs., Ms., Dr., etc.)",Recipient FIRST  NAME,Recipient LAST NAME,Recipient ADDRESS 1,Recipient ADDRESS 2,Recipient CITY ,Recipient STATE,Recipient  ZIP,Recipient BIRTH DATE,Recipient EMAIL ADDRESS,Recipient MESSAGE
P1Business Name,P1Prefix,P1First,P1Last,P1Address1,P1Address2,P1City,PB,1010,36892,P1@leveragedmedia.com,P1message
P2Business Name,P2Prefix,P2First,P2Last,P2Address1,P2Address2,P2City,PB,2020,36893,,P2message
P3Business Name,P3Prefix,P3First,P3Last,P3Address1,P3Address2,P3City,PB,3030,36894,P3@leveragedmedia.com,P3message
P4Business Name,P4Prefix,P4First,P4Last,P4Address1,P4Address2,P4City,PB,4040,36895,P4@leveragedmedia.com,P4message
P5Business Name,P5Prefix,P5First,P5Last,,,P5City,PB,5050,36896,P5@leveragedmedia.com,P5message
P6Business Name,P6Prefix,P6First,P6Last,P6Address1,P6Address2,P6City,PB,6060,36897,P6@leveragedmedia.com,P6message
P7Business Name,P7Prefix,P7First,P7Last,P7Address1,P7Address2,P7City,PB,7070,36898,P7@leveragedmedia.com,P7message
P8Business Name,P8Prefix,P8First,P8Last,P8Address1,P8Address2,P8City,PB,8080,36899,,P8message
P9Business Name,P9Prefix,P9First,P9Last,P9Address1,P9Address2,P9City,PB,9090,36900,P9@leveragedmedia.com,P9message
P10Business Name,P10Prefix,P10First,P10Last,,,P10City,PB,10100,36901,P10@leveragedmedia.com,P10message
P11Business Name,P11Prefix,P11First,P11Last,P11Address1,P11Address2,P11City,PB,11110,36902,P11@leveragedmedia.com,P11message
P12Business Name,P12Prefix,P12First,P12Last,P12Address1,P12Address2,P12City,PB,12120,36903,P12@leveragedmedia.com,P12message
P13Business Name,P13Prefix,P13First,P13Last,P13Address1,P13Address2,P13City,PB,13130,36904,P13@leveragedmedia.com,P13message
P14Business Name,P14Prefix,P14First,P14Last,P14Address1,P14Address2,P14City,PB,14140,36905,P14@leveragedmedia.com,P14message
P15Business Name,P15Prefix,P15First,P15Last,P15Address1,P15Address2,P15City,PB,15150,36906,,P15message
P16Business Name,P16Prefix,P16First,P16Last,,,P16City,PB,16160,36907,P16@leveragedmedia.com,P16message
