Recipient BUSINESS NAME,"Recipient PREFIX (Mr., Mrs., Ms., Dr., etc.)",Recipient FIRST  NAME,Recipient LAST NAME,Recipient ADDRESS 1,Recipient ADDRESS 2,Recipient CITY ,Recipient STATE,Recipient  ZIP,Recipient BIRTH DATE,Recipient EMAIL ADDRESS,Recipient MESSAGE
R1Business Name,R1Prefix,R1First,R1Last,R1Address1,R1Address2,R1City,RB,1010,36892,R1@leveragedmedia.com,R1message
R2Business Name,R2Prefix,R2First,R2Last,R2Address1,R2Address2,R2City,RB,2020,36893,R2@leveragedmedia.com,R2message
R3Business Name,R3Prefix,R3First,R3Last,R3Address1,R3Address2,R3City,RB,3030,36894,R3@leveragedmedia.com,R3message
R4Business Name,R4Prefix,R4First,R4Last,R4Address1,R4Address2,R4City,RB,4040,36895,R4@leveragedmedia.com,R4message
R5Business Name,R5Prefix,R5First,R5Last,R5Address1,R5Address2,R5City,RB,5050,36896,R5@leveragedmedia.com,R5message
R6Business Name,R6Prefix,R6First,R6Last,R6Address1,R6Address2,R6City,RB,6060,36897,R6@leveragedmedia.com,R6message
R7Business Name,R7Prefix,R7First,R7Last,R7Address1,R7Address2,R7City,RB,7070,36898,R7@leveragedmedia.com,R7message
R8Business Name,R8Prefix,R8First,R8Last,R8Address1,R8Address2,R8City,RB,8080,36899,R8@leveragedmedia.com,R8message
R9Business Name,R9Prefix,R9First,R9Last,R9Address1,R9Address2,R9City,RB,9090,36900,R9@leveragedmedia.com,R9message
R10Business Name,R10Prefix,R10First,R10Last,R10Address1,R10Address2,R10City,RB,10100,36901,R10@leveragedmedia.com,R10message
R11Business Name,R11Prefix,R11First,R11Last,R11Address1,R11Address2,R11City,RB,11110,36902,R11@leveragedmedia.com,R11message
R12Business Name,R12Prefix,R12First,R12Last,R12Address1,R12Address2,R12City,RB,12120,36903,R12@leveragedmedia.com,R12message
R13Business Name,R13Prefix,R13First,R13Last,R13Address1,R13Address2,R13City,RB,13130,36904,R13@leveragedmedia.com,R13message
R14Business Name,R14Prefix,R14First,R14Last,R14Address1,R14Address2,R14City,RB,14140,36905,R14@leveragedmedia.com,R14message
R15Business Name,R15Prefix,R15First,R15Last,R15Address1,R15Address2,R15City,RB,15150,36906,R15@leveragedmedia.com,R15message
R16Business Name,R16Prefix,R16First,R16Last,R16Address1,R16Address2,R16City,RB,16160,36907,R16@leveragedmedia.com,R16message
R17Business Name,R17Prefix,R17First,R17Last,R17Address1,R17Address2,R17City,RB,17170,36908,R17@leveragedmedia.com,R17message
R18Business Name,R18Prefix,R18First,R18Last,R18Address1,R18Address2,R18City,RB,18180,36909,R18@leveragedmedia.com,R18message
R19Business Name,R19Prefix,R19First,R19Last,R19Address1,R19Address2,R19City,RB,19190,36910,R19@leveragedmedia.com,R19message
R20Business Name,R20Prefix,R20First,R20Last,R20Address1,R20Address2,R20City,RB,20200,36911,R20@leveragedmedia.com,R20message
R21Business Name,R21Prefix,R21First,R21Last,R21Address1,R21Address2,R21City,RB,21210,36912,R21@leveragedmedia.com,R21message
R22Business Name,R22Prefix,R22First,R22Last,R22Address1,R22Address2,R22City,RB,22220,36913,R22@leveragedmedia.com,R22message
R23Business Name,R23Prefix,R23First,R23Last,R23Address1,R23Address2,R23City,RB,23230,36914,R23@leveragedmedia.com,R23message
R24Business Name,R24Prefix,R24First,R24Last,R24Address1,R24Address2,R24City,RB,24240,36915,R24@leveragedmedia.com,R24message
R25Business Name,R25Prefix,R25First,R25Last,R25Address1,R25Address2,R25City,RB,25250,36916,R25@leveragedmedia.com,R25message
R26Business Name,R26Prefix,R26First,R26Last,R26Address1,R26Address2,R26City,RB,26260,36917,R26@leveragedmedia.com,R26message
R27Business Name,R27Prefix,R27First,R27Last,R27Address1,R27Address2,R27City,RB,27270,36918,R27@leveragedmedia.com,R27message
R28Business Name,R28Prefix,R28First,R28Last,R28Address1,R28Address2,R28City,RB,28280,36919,R28@leveragedmedia.com,R28message
R29Business Name,R29Prefix,R29First,R29Last,R29Address1,R29Address2,R29City,RB,29290,36920,R29@leveragedmedia.com,R29message
R30Business Name,R30Prefix,R30First,R30Last,R30Address1,R30Address2,R30City,RB,30300,36921,R30@leveragedmedia.com,R30message
R31Business Name,R31Prefix,R31First,R31Last,R31Address1,R31Address2,R31City,RB,31310,36922,R31@leveragedmedia.com,R31message
R32Business Name,R32Prefix,R32First,R32Last,R32Address1,R32Address2,R32City,RB,32320,36923,R32@leveragedmedia.com,R32message
R33Business Name,R33Prefix,R33First,R33Last,R33Address1,R33Address2,R33City,RB,33330,36924,R33@leveragedmedia.com,R33message
