Recipient BUSINESS NAME,"Recipient PREFIX (Mr., Mrs., Ms., Dr., etc.)",Recipient FIRST  NAME,Recipient LAST NAME,Recipient ADDRESS 1,Recipient ADDRESS 2,Recipient CITY ,Recipient STATE,Recipient  ZIP,Recipient BIRTH DATE,Recipient EMAIL ADDRESS,Recipient MESSAGE
T1Business Name,T1Prefix,T1First,T1Last,T1Address1,T1Address2,T1City,TB,1010,36892,T1@leveragedmedia.com,T1message
T2Business Name,T2Prefix,T2First,T2Last,T2Address1,T2Address2,T2City,TB,2020,36893,T2@leveragedmedia.com,T2message
T3Business Name,T3Prefix,T3First,T3Last,T3Address1,T3Address2,T3City,TB,3030,36894,T3@leveragedmedia.com,T3message
T4Business Name,T4Prefix,T4First,T4Last,T4Address1,T4Address2,T4City,TB,4040,36895,T4@leveragedmedia.com,T4message
T5Business Name,T5Prefix,T5First,T5Last,T5Address1,T5Address2,T5City,TB,5050,36896,T5@leveragedmedia.com,T5message
T6Business Name,T6Prefix,T6First,T6Last,T6Address1,T6Address2,T6City,TB,6060,36897,T6@leveragedmedia.com,T6message
T7Business Name,T7Prefix,T7First,T7Last,T7Address1,T7Address2,T7City,TB,7070,36898,T7@leveragedmedia.com,T7message
T8Business Name,T8Prefix,T8First,T8Last,T8Address1,T8Address2,T8City,TB,8080,36899,T8@leveragedmedia.com,T8message
T9Business Name,T9Prefix,T9First,T9Last,,,T9City,TB,9090,36900,T9@leveragedmedia.com,T9message
T10Business Name,T10Prefix,T10First,T10Last,,,T10City,TB,10100,36901,T10@leveragedmedia.com,T10message
T11Business Name,T11Prefix,T11First,T11Last,,,T11City,TB,11110,36902,T11@leveragedmedia.com,T11message
T12Business Name,T12Prefix,T12First,T12Last,,,T12City,TB,12120,36903,T12@leveragedmedia.com,T12message
T13Business Name,T13Prefix,T13First,T13Last,,,T13City,TB,13130,36904,T13@leveragedmedia.com,T13message
T14Business Name,T14Prefix,T14First,T14Last,T14Address1,T14Address2,T14City,TB,14140,36905,T14@leveragedmedia.com,T14message
T15Business Name,T15Prefix,T15First,T15Last,T15Address1,T15Address2,T15City,TB,15150,36906,T15@leveragedmedia.com,T15message
