"Recipient BUSINESS NAME","Recipient PREFIX (Mr., Mrs., Ms., Dr., etc.)","Recipient FIRST  NAME","Recipient LAST NAME","Recipient ADDRESS 1","Recipient ADDRESS 2","Recipient CITY ","Recipient STATE","Recipient  ZIP","Recipient BIRTH DATE","Recipient EMAIL ADDRESS","Recipient MESSAGE"
"X1Business Name","X1Prefix","X1First","X1Last","X1Address1","X1Address2","X1City","XB",1010,36892,"X1@leveragedmedia.com","X1message"
"X2Business Name","X2Prefix","X2First","X2Last","X2Address1","X2Address2","X2City","XB",2020,36893,"X2@leveragedmedia.com","X2message"
"X3Business Name","X3Prefix","X3First","X3Last","X3Address1","X3Address2","X3City","XB",3030,36894,"X3@leveragedmedia.com","X3message"
"X4Business Name","X4Prefix","X4First","X4Last","X4Address1","X4Address2","X4City","XB",4040,36895,"X4@leveragedmedia.com","X4message"
"X5Business Name","X5Prefix","X5First","X5Last","X5Address1","X5Address2","X5City","XB",5050,36896,"X5@leveragedmedia.com","X5message"
"X6Business Name","X6Prefix","X6First","X6Last","X6Address1","X6Address2","X6City","XB",6060,36897,"X6@leveragedmedia.com","X6message"
"X7Business Name","X7Prefix","X7First","X7Last","X7Address1","X7Address2","X7City","XB",7070,36898,"X7@leveragedmedia.com","X7message"
"X8Business Name","X8Prefix","X8First","X8Last","X8Address1","X8Address2","X8City","XB",8080,36899,"X8@leveragedmedia.com","X8message"
"X9Business Name","X9Prefix","X9First","X9Last","X9Address1","X9Address2","X9City","XB",9090,36900,"X9@leveragedmedia.com","X9message"
"X10Business Name","X10Prefix","X10First","X10Last","X10Address1","X10Address2","X10City","XB",10100,36901,"X10@leveragedmedia.com","X10message"
"X11Business Name","X11Prefix","X11First","X11Last",,,"X11City","XB",11110,36902,,"X11message"
"X12Business Name","X12Prefix","X12First","X12Last",,,"X12City","XB",12120,36903,,"X12message"
"X13Business Name","X13Prefix","X13First","X13Last",,,"X13City","XB",13130,36904,,"X13message"
"X14Business Name","X14Prefix","X14First","X14Last",,,"X14City","XB",14140,36905,,"X14message"
"X15Business Name","X15Prefix","X15First","X15Last",,,"X15City","XB",15150,36906,,"X15message"
"X16Business Name","X16Prefix","X16First","X16Last",,,"X16City","XB",16160,36907,,"X16message"
"X17Business Name","X17Prefix","X17First","X17Last",,,"X17City","XB",17170,36908,,"X17message"
"X18Business Name","X18Prefix","X18First","X18Last",,,"X18City","XB",18180,36909,,"X18message"
"X19Business Name","X19Prefix","X19First","X19Last",,,"X19City","XB",19190,36910,,"X19message"
"X20Business Name","X20Prefix","X20First","X20Last",,,"X20City","XB",20200,36911,,"X20message"
"X21Business Name","X21Prefix","X21First","X21Last",,,"X21City","XB",21210,36912,"X21@leveragedmedia.com","X21message"
"X22Business Name","X22Prefix","X22First","X22Last",,,"X22City","XB",22220,36913,"X22@leveragedmedia.com","X22message"
"X23Business Name","X23Prefix","X23First","X23Last",,,"X23City","XB",23230,36914,"X23@leveragedmedia.com","X23message"
"X24Business Name","X24Prefix","X24First","X24Last",,,"X24City","XB",24240,36915,"X24@leveragedmedia.com","X24message"
"X25Business Name","X25Prefix","X25First","X25Last",,,"X25City","XB",25250,36916,"X25@leveragedmedia.com","X25message"
"X26Business Name","X26Prefix","X26First","X26Last",,,"X26City","XB",26260,36917,"X26@leveragedmedia.com","X26message"
"X27Business Name","X27Prefix","X27First","X27Last",,,"X27City","XB",27270,36918,"X27@leveragedmedia.com","X27message"
"X28Business Name","X28Prefix","X28First","X28Last",,,"X28City","XB",28280,36919,"X28@leveragedmedia.com","X28message"
"X29Business Name","X29Prefix","X29First","X29Last",,,"X29City","XB",29290,36920,"X29@leveragedmedia.com","X29message"
"X30Business Name","X30Prefix","X30First","X30Last",,,"X30City","XB",30300,36921,"X30@leveragedmedia.com","X30message"
"X31Business Name","X31Prefix","X31First","X31Last",,,"X31City","XB",31310,36922,"X31@leveragedmedia.com","X31message"
"X32Business Name","X32Prefix","X32First","X32Last",,,"X32City","XB",32320,36923,"X32@leveragedmedia.com","X32message"
"X33Business Name","X33Prefix","X33First","X33Last",,,"X33City","XB",33330,36924,"X33@leveragedmedia.com","X33message"
